loan_id,origination_month,original_balance,original_term_months,original_interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,property_type,occupancy_type,servicer_name,vintage
LN100063,2024-02-01,231100.0,360,5.95,700-739,<=60,<=20,OH,Refinance,Single Family,Investment,Sunrise Servicing,2024
LN100064,2019-10-01,102100.0,360,3.803,740-779,71-80,31-36,IL,Cash-Out Refinance,Single Family,Primary,Sunrise Servicing,2019
LN100065,2023-08-01,232900.0,360,5.069,740-779,81-90,21-30,PA,Purchase,Condo,Primary,Apex Mortgage Co,2023
LN100066,2019-06-01,134300.0,180,3.816,700-739,81-90,>50,GA,Purchase,Single Family,Primary,Meridian Loan Services,2019
LN100067,2022-11-01,232200.0,360,5.149,700-739,81-90,44-50,OH,Purchase,Single Family,Primary,Meridian Loan Services,2022
LN100068,2023-05-01,408900.0,180,5.317,660-699,61-70,31-36,PA,Purchase,Single Family,Second Home,Meridian Loan Services,2023
LN100069,2023-08-01,284500.0,360,5.134,700-739,81-90,31-36,CA,Refinance,Single Family,Primary,Apex Mortgage Co,2023
LN100070,2020-02-01,250200.0,180,4.355,660-699,71-80,31-36,GA,Cash-Out Refinance,Multi-Family,Investment,Sunrise Servicing,2020
LN100071,2023-08-01,182100.0,360,4.996,700-739,<=60,<=20,NC,Cash-Out Refinance,Single Family,Primary,Cornerstone Servicing,2023
LN100072,2019-08-01,238000.0,360,3.514,740-779,61-70,21-30,TX,Refinance,Single Family,Primary,Highland Capital Servicing,2019
LN100073,2021-09-01,297600.0,360,4.948,<620,71-80,21-30,TX,Purchase,Condo,Primary,Highland Capital Servicing,2021
LN100074,2021-06-01,284600.0,360,4.71,<620,61-70,21-30,TX,Cash-Out Refinance,Single Family,Primary,Cornerstone Servicing,2021
LN100075,2020-08-01,220900.0,360,4.385,660-699,81-90,37-43,TX,Purchase,Single Family,Primary,Highland Capital Servicing,2020
LN100076,2019-02-01,254700.0,180,3.323,780+,81-90,<=20,IL,Purchase,Single Family,Primary,Meridian Loan Services,2019
LN100077,2022-12-01,127700.0,360,4.465,740-779,81-90,21-30,CA,Refinance,Single Family,Primary,Cornerstone Servicing,2022
LN100078,2020-09-01,166000.0,180,4.443,620-659,61-70,31-36,GA,Purchase,Single Family,Primary,Apex Mortgage Co,2020
LN100079,2022-06-01,317600.0,360,3.863,780+,81-90,31-36,CA,Cash-Out Refinance,Single Family,Primary,Apex Mortgage Co,2022
LN100080,2021-02-01,337400.0,360,4.064,700-739,81-90,21-30,CA,Cash-Out Refinance,Single Family,Primary,Apex Mortgage Co,2021
LN100081,2020-12-01,240900.0,360,4.171,700-739,61-70,<=20,FL,Refinance,Condo,Primary,Sunrise Servicing,2020
LN100082,2023-07-01,449300.0,360,4.773,780+,81-90,21-30,TX,Refinance,Single Family,Primary,Cornerstone Servicing,2023
LN100083,2019-06-01,290300.0,360,5.102,<620,71-80,21-30,AZ,Purchase,Condo,Primary,Cornerstone Servicing,2019
LN100084,2022-10-01,208000.0,360,5.451,660-699,71-80,44-50,FL,Purchase,Single Family,Primary,Highland Capital Servicing,2022
LN100085,2022-11-01,133400.0,360,4.808,700-739,<=60,44-50,TX,Refinance,Manufactured,Primary,Meridian Loan Services,2022
LN100086,2020-12-01,441300.0,180,4.824,620-659,71-80,31-36,TX,Refinance,Single Family,Primary,Cornerstone Servicing,2020
LN100087,2020-05-01,326600.0,360,3.8,740-779,<=60,31-36,FL,Cash-Out Refinance,Condo,Primary,Sunrise Servicing,2020
LN100088,2019-01-01,518800.0,360,4.282,660-699,61-70,37-43,OH,Purchase,Condo,Primary,Meridian Loan Services,2019
LN100089,2023-11-01,612400.0,360,6.11,620-659,61-70,37-43,PA,Purchase,Single Family,Primary,Sunrise Servicing,2023
LN100090,2023-11-01,129400.0,360,6.114,660-699,>95,21-30,FL,Purchase,Single Family,Primary,Meridian Loan Services,2023
LN100091,2020-03-01,129600.0,360,3.779,700-739,61-70,21-30,OH,Refinance,Condo,Primary,Meridian Loan Services,2020
LN100092,2019-03-01,63700.0,360,4.701,620-659,71-80,31-36,NY,Refinance,Condo,Primary,Highland Capital Servicing,2019
LN100093,2019-08-01,349200.0,360,4.573,620-659,71-80,37-43,MI,Cash-Out Refinance,Single Family,Primary,Meridian Loan Services,2019
LN100094,2019-05-01,310300.0,360,3.786,780+,91-95,21-30,IL,Purchase,Condo,Primary,Cornerstone Servicing,2019
LN100095,2023-04-01,241300.0,360,5.548,660-699,71-80,21-30,TX,Purchase,Single Family,Primary,Meridian Loan Services,2023
LN100096,2023-08-01,133000.0,360,5.69,660-699,91-95,21-30,NC,Purchase,Single Family,Investment,Apex Mortgage Co,2023
LN100097,2019-10-01,221900.0,180,5.086,<620,61-70,21-30,MI,Purchase,Single Family,Primary,Apex Mortgage Co,2019
LN100098,2022-11-01,251000.0,360,4.46,660-699,<=60,31-36,NY,Purchase,Condo,Primary,Cornerstone Servicing,2022
LN100099,2019-12-01,328500.0,180,4.733,660-699,71-80,37-43,AZ,Refinance,Single Family,Investment,Highland Capital Servicing,2019
LN100100,2020-11-01,261100.0,180,3.84,700-739,71-80,31-36,MI,Purchase,Single Family,Investment,Cornerstone Servicing,2020
LN100101,2022-02-01,311400.0,360,4.624,660-699,81-90,21-30,TX,Purchase,Single Family,Primary,Cornerstone Servicing,2022
LN100102,2022-09-01,218400.0,360,4.306,780+,91-95,21-30,PA,Refinance,Single Family,Investment,Sunrise Servicing,2022
LN100103,2023-07-01,393000.0,360,4.878,780+,71-80,44-50,OH,Cash-Out Refinance,Single Family,Primary,Sunrise Servicing,2023
LN100104,2019-03-01,306900.0,360,4.707,620-659,>95,31-36,IL,Purchase,Single Family,Primary,Apex Mortgage Co,2019
LN100105,2020-01-01,135400.0,360,4.205,620-659,71-80,<=20,IL,Purchase,Condo,Primary,Sunrise Servicing,2020
LN100106,2020-06-01,431600.0,360,4.585,620-659,61-70,21-30,MI,Refinance,Single Family,Primary,Apex Mortgage Co,2020
LN100107,2020-08-01,400900.0,360,4.058,700-739,71-80,44-50,OH,Refinance,Single Family,Primary,Apex Mortgage Co,2020
LN100108,2024-02-01,284800.0,360,5.698,620-659,<=60,37-43,IL,Cash-Out Refinance,Single Family,Primary,Meridian Loan Services,2024
LN100109,2023-01-01,262100.0,360,4.331,780+,81-90,44-50,CA,Purchase,Single Family,Primary,Sunrise Servicing,2023
LN100110,2020-08-01,487200.0,360,3.427,740-779,<=60,37-43,NY,Purchase,Single Family,Primary,Cornerstone Servicing,2020
LN100111,2024-01-01,110700.0,180,5.509,740-779,71-80,31-36,WA,Cash-Out Refinance,Single Family,Primary,Meridian Loan Services,2024
LN100112,2021-07-01,403700.0,180,3.971,700-739,71-80,31-36,NC,Purchase,Single Family,Primary,Cornerstone Servicing,2021
LN100113,2021-08-01,186400.0,360,3.658,780+,<=60,21-30,CA,Purchase,Single Family,Investment,Highland Capital Servicing,2021
LN100114,2021-03-01,378100.0,180,4.808,<620,<=60,37-43,WA,Cash-Out Refinance,Single Family,Primary,Highland Capital Servicing,2021
LN100115,2019-09-01,243800.0,360,4.156,700-739,81-90,37-43,MI,Purchase,Multi-Family,Primary,Highland Capital Servicing,2019
LN100116,2023-10-01,132000.0,360,5.586,660-699,<=60,21-30,IL,Refinance,Single Family,Primary,Meridian Loan Services,2023
LN100117,2019-01-01,184700.0,180,3.044,780+,71-80,44-50,CA,Cash-Out Refinance,Single Family,Primary,Meridian Loan Services,2019
LN100118,2019-11-01,365800.0,360,3.97,700-739,71-80,31-36,IL,Purchase,Single Family,Primary,Cornerstone Servicing,2019
LN100119,2020-03-01,210100.0,360,3.834,740-779,61-70,<=20,CA,Refinance,Single Family,Primary,Highland Capital Servicing,2020
LN100120,2020-06-01,174600.0,360,4.771,620-659,61-70,31-36,FL,Purchase,Single Family,Primary,Meridian Loan Services,2020
LN100121,2019-09-01,174100.0,360,3.411,780+,81-90,44-50,OH,Cash-Out Refinance,Condo,Primary,Highland Capital Servicing,2019
LN100122,2019-02-01,308400.0,360,3.94,700-739,>95,44-50,WA,Cash-Out Refinance,Single Family,Primary,Meridian Loan Services,2019
LN100123,2022-07-01,507800.0,360,4.549,700-739,61-70,31-36,FL,Cash-Out Refinance,Single Family,Second Home,Cornerstone Servicing,2022
LN100124,2024-01-01,88100.0,360,5.403,780+,>95,>50,MI,Purchase,Single Family,Primary,Apex Mortgage Co,2024
LN100125,2019-08-01,814500.0,360,4.228,700-739,81-90,44-50,WA,Refinance,Single Family,Primary,Meridian Loan Services,2019
LN100126,2020-07-01,253100.0,360,4.152,700-739,81-90,44-50,CA,Cash-Out Refinance,Manufactured,Investment,Highland Capital Servicing,2020
LN100127,2021-08-01,299900.0,360,3.769,700-739,81-90,44-50,TX,Refinance,Single Family,Primary,Highland Capital Servicing,2021
LN100128,2023-10-01,189800.0,180,6.275,620-659,81-90,31-36,NC,Refinance,Single Family,Primary,Meridian Loan Services,2023
LN100129,2022-08-01,230600.0,360,4.934,660-699,81-90,37-43,NC,Purchase,Single Family,Investment,Highland Capital Servicing,2022
LN100130,2022-12-01,251900.0,360,5.706,620-659,71-80,37-43,FL,Cash-Out Refinance,Single Family,Primary,Meridian Loan Services,2022
LN100131,2021-12-01,144000.0,360,4.63,620-659,71-80,37-43,GA,Purchase,Single Family,Investment,Meridian Loan Services,2021
LN100132,2021-02-01,160700.0,360,3.554,780+,71-80,21-30,OH,Purchase,Single Family,Primary,Cornerstone Servicing,2021
LN100133,2020-01-01,393600.0,360,3.958,700-739,<=60,37-43,NC,Cash-Out Refinance,Single Family,Primary,Highland Capital Servicing,2020
LN100134,2023-06-01,114900.0,360,5.392,660-699,81-90,>50,NC,Cash-Out Refinance,Single Family,Primary,Sunrise Servicing,2023
LN100135,2023-02-01,281700.0,360,4.653,700-739,<=60,21-30,CA,Cash-Out Refinance,Single Family,Primary,Highland Capital Servicing,2023
LN100136,2019-02-01,195500.0,360,3.892,700-739,61-70,>50,CA,Purchase,Single Family,Investment,Meridian Loan Services,2019
LN100137,2022-09-01,149900.0,360,4.016,740-779,<=60,31-36,CA,Purchase,Single Family,Primary,Meridian Loan Services,2022
LN100138,2019-06-01,560900.0,360,3.237,780+,61-70,21-30,WA,Purchase,Multi-Family,Investment,Apex Mortgage Co,2019
LN100139,2022-10-01,150300.0,360,4.642,780+,81-90,21-30,WA,Purchase,Single Family,Primary,Apex Mortgage Co,2022
LN100140,2023-04-01,138900.0,180,5.354,700-739,81-90,44-50,PA,Cash-Out Refinance,Manufactured,Investment,Cornerstone Servicing,2023
LN100141,2019-09-01,212300.0,360,4.352,660-699,71-80,31-36,CA,Refinance,Multi-Family,Investment,Apex Mortgage Co,2019
LN100142,2021-03-01,163400.0,360,4.27,700-739,<=60,21-30,OH,Purchase,Single Family,Primary,Meridian Loan Services,2021
LN100143,2019-08-01,231600.0,360,3.814,700-739,71-80,37-43,TX,Purchase,Single Family,Investment,Highland Capital Servicing,2019
LN100144,2021-12-01,247700.0,360,4.522,700-739,71-80,31-36,FL,Purchase,Condo,Primary,Apex Mortgage Co,2021
LN100145,2023-10-01,256700.0,360,5.177,740-779,81-90,31-36,TX,Cash-Out Refinance,Single Family,Primary,Sunrise Servicing,2023
LN100146,2019-06-01,218400.0,180,4.364,700-739,71-80,44-50,MI,Refinance,Single Family,Primary,Highland Capital Servicing,2019
LN100147,2021-01-01,168400.0,360,4.854,660-699,71-80,37-43,CA,Purchase,Single Family,Primary,Apex Mortgage Co,2021
LN100148,2024-01-01,308500.0,360,5.629,660-699,71-80,37-43,GA,Purchase,Single Family,Primary,Apex Mortgage Co,2024
LN100149,2020-07-01,219600.0,360,4.96,660-699,>95,37-43,AZ,Purchase,Condo,Primary,Sunrise Servicing,2020
LN100150,2019-09-01,184800.0,360,4.613,620-659,81-90,>50,GA,Purchase,Condo,Primary,Apex Mortgage Co,2019
LN100151,2021-07-01,449500.0,360,4.507,620-659,71-80,21-30,CA,Cash-Out Refinance,Multi-Family,Primary,Highland Capital Servicing,2021
LN100152,2021-08-01,218700.0,360,3.83,740-779,71-80,21-30,WA,Refinance,Condo,Primary,Highland Capital Servicing,2021
LN100153,2022-06-01,377500.0,180,4.118,700-739,<=60,<=20,GA,Purchase,Single Family,Primary,Highland Capital Servicing,2022
LN100154,2020-08-01,401100.0,180,4.742,660-699,>95,31-36,NY,Refinance,Single Family,Primary,Cornerstone Servicing,2020
LN100155,2023-12-01,412300.0,360,5.552,700-739,71-80,37-43,GA,Purchase,Manufactured,Investment,Apex Mortgage Co,2023
LN100156,2021-09-01,315200.0,180,3.702,740-779,61-70,37-43,MI,Purchase,Manufactured,Investment,Apex Mortgage Co,2021
LN100157,2020-06-01,230900.0,180,4.937,660-699,>95,31-36,NY,Refinance,Condo,Investment,Apex Mortgage Co,2020
LN100158,2023-12-01,224400.0,360,5.598,740-779,81-90,<=20,IL,Purchase,Condo,Primary,Meridian Loan Services,2023
LN100159,2023-10-01,206900.0,360,4.657,780+,<=60,37-43,NY,Purchase,Single Family,Primary,Meridian Loan Services,2023
LN100160,2021-07-01,87100.0,180,3.969,700-739,<=60,>50,CA,Cash-Out Refinance,Single Family,Investment,Highland Capital Servicing,2021
LN100161,2019-02-01,319200.0,360,3.25,740-779,<=60,21-30,PA,Cash-Out Refinance,Multi-Family,Primary,Meridian Loan Services,2019
LN100162,2022-01-01,257800.0,180,4.87,<620,81-90,21-30,CA,Purchase,Single Family,Primary,Highland Capital Servicing,2022
LN100163,2021-11-01,334900.0,360,3.216,780+,<=60,21-30,FL,Refinance,Single Family,Primary,Highland Capital Servicing,2021
LN100164,2019-10-01,219100.0,360,4.334,700-739,91-95,31-36,FL,Purchase,Single Family,Primary,Cornerstone Servicing,2019
LN100165,2022-04-01,311500.0,360,3.956,780+,91-95,21-30,TX,Refinance,Single Family,Primary,Sunrise Servicing,2022
LN100166,2023-05-01,124300.0,180,5.206,700-739,71-80,31-36,NY,Purchase,Single Family,Primary,Meridian Loan Services,2023
LN100167,2019-07-01,136500.0,360,4.939,<620,81-90,37-43,OH,Refinance,Single Family,Primary,Highland Capital Servicing,2019
LN100168,2022-09-01,75800.0,360,5.323,<620,61-70,31-36,FL,Purchase,Single Family,Primary,Apex Mortgage Co,2022
LN100169,2019-09-01,217400.0,360,3.828,740-779,<=60,31-36,TX,Cash-Out Refinance,Single Family,Primary,Highland Capital Servicing,2019
LN100170,2022-11-01,163100.0,360,4.773,700-739,81-90,<=20,MI,Cash-Out Refinance,Single Family,Primary,Highland Capital Servicing,2022
LN100171,2021-03-01,153800.0,360,4.943,<620,<=60,44-50,AZ,Purchase,Single Family,Primary,Cornerstone Servicing,2021
LN100172,2019-01-01,268500.0,180,3.487,740-779,<=60,31-36,NY,Refinance,Condo,Primary,Meridian Loan Services,2019
LN100173,2023-12-01,190700.0,360,5.253,780+,71-80,31-36,FL,Purchase,Single Family,Primary,Meridian Loan Services,2023
LN100174,2019-11-01,121200.0,360,3.73,700-739,<=60,<=20,CA,Refinance,Single Family,Primary,Apex Mortgage Co,2019
LN100175,2022-01-01,725900.0,360,4.268,700-739,71-80,37-43,CA,Purchase,Single Family,Primary,Apex Mortgage Co,2022
LN100176,2019-12-01,227100.0,360,5.303,<620,81-90,44-50,FL,Purchase,Single Family,Primary,Cornerstone Servicing,2019
LN100177,2023-10-01,141900.0,360,5.467,740-779,81-90,<=20,WA,Refinance,Condo,Investment,Sunrise Servicing,2023
LN100178,2022-10-01,170900.0,180,5.185,660-699,81-90,21-30,NC,Purchase,Single Family,Primary,Meridian Loan Services,2022
LN100179,2023-02-01,213600.0,180,4.415,780+,91-95,21-30,FL,Purchase,Single Family,Primary,Cornerstone Servicing,2023
LN100180,2021-03-01,213400.0,360,4.984,660-699,71-80,37-43,AZ,Purchase,Condo,Investment,Highland Capital Servicing,2021
LN100181,2021-05-01,415000.0,360,4.059,700-739,91-95,>50,NY,Purchase,Single Family,Primary,Highland Capital Servicing,2021
LN100182,2022-04-01,222900.0,360,4.791,660-699,71-80,31-36,TX,Purchase,Condo,Primary,Meridian Loan Services,2022
LN100183,2023-01-01,532200.0,360,5.428,620-659,61-70,31-36,NY,Refinance,Manufactured,Primary,Highland Capital Servicing,2023
LN100184,2023-05-01,190100.0,360,5.026,740-779,>95,37-43,TX,Refinance,Single Family,Primary,Meridian Loan Services,2023
LN100185,2019-02-01,279800.0,360,3.949,700-739,61-70,37-43,WA,Purchase,Manufactured,Primary,Highland Capital Servicing,2019
LN100186,2022-06-01,365800.0,360,4.218,700-739,<=60,21-30,FL,Purchase,Single Family,Primary,Sunrise Servicing,2022
LN100187,2019-07-01,395500.0,360,3.37,780+,61-70,21-30,GA,Refinance,Single Family,Primary,Meridian Loan Services,2019
LN100188,2020-06-01,416800.0,180,3.594,780+,71-80,31-36,FL,Refinance,Single Family,Primary,Highland Capital Servicing,2020
LN100189,2023-04-01,204400.0,360,5.001,780+,71-80,37-43,WA,Cash-Out Refinance,Single Family,Primary,Highland Capital Servicing,2023
LN100190,2020-04-01,230400.0,180,4.941,620-659,71-80,37-43,GA,Purchase,Single Family,Primary,Cornerstone Servicing,2020
LN100191,2023-02-01,75700.0,360,5.205,700-739,91-95,37-43,NY,Purchase,Single Family,Second Home,Cornerstone Servicing,2023
LN100192,2021-05-01,211500.0,360,3.532,780+,61-70,44-50,CA,Refinance,Single Family,Primary,Sunrise Servicing,2021
LN100193,2020-03-01,377400.0,360,4.731,660-699,71-80,21-30,WA,Purchase,Single Family,Primary,Sunrise Servicing,2020
LN100194,2020-09-01,345800.0,360,4.53,620-659,71-80,31-36,IL,Purchase,Single Family,Primary,Meridian Loan Services,2020
LN100195,2021-09-01,222100.0,360,3.87,740-779,91-95,<=20,TX,Purchase,Single Family,Primary,Cornerstone Servicing,2021
LN100196,2022-12-01,496100.0,360,4.367,700-739,61-70,44-50,MI,Cash-Out Refinance,Single Family,Primary,Apex Mortgage Co,2022
LN100197,2022-02-01,194300.0,360,4.097,700-739,<=60,37-43,CA,Purchase,Single Family,Primary,Cornerstone Servicing,2022
LN100198,2023-10-01,167300.0,360,5.058,780+,71-80,21-30,FL,Refinance,Condo,Primary,Sunrise Servicing,2023
LN100199,2023-06-01,187100.0,360,5.012,700-739,81-90,<=20,IL,Refinance,Single Family,Second Home,Cornerstone Servicing,2023
LN100200,2022-11-01,139400.0,180,5.199,700-739,81-90,37-43,FL,Purchase,Condo,Second Home,Sunrise Servicing,2022
LN100201,2022-02-01,305600.0,180,4.381,660-699,81-90,37-43,NY,Cash-Out Refinance,Single Family,Second Home,Cornerstone Servicing,2022
LN100202,2020-06-01,263000.0,180,4.142,700-739,81-90,37-43,TX,Refinance,Single Family,Primary,Cornerstone Servicing,2020
LN100203,2021-02-01,303900.0,360,4.787,620-659,71-80,21-30,CA,Purchase,Manufactured,Primary,Meridian Loan Services,2021
LN100204,2019-08-01,191700.0,360,3.838,740-779,<=60,44-50,CA,Refinance,Single Family,Primary,Meridian Loan Services,2019
LN100205,2020-12-01,225000.0,360,3.502,740-779,<=60,37-43,CA,Purchase,Single Family,Investment,Apex Mortgage Co,2020
LN100206,2023-10-01,86700.0,180,5.687,660-699,<=60,37-43,AZ,Purchase,Single Family,Primary,Highland Capital Servicing,2023
LN100207,2021-03-01,273600.0,360,4.574,660-699,71-80,37-43,OH,Refinance,Single Family,Primary,Sunrise Servicing,2021
